Instance,Variables,Integers,Binaries,Type
Test3,72215,0,33143,MBP
lrn,7253,0,2455,MBP
neos-1516309,4500,0,4500,BP
rout,556,15,300,MIP
CMS750-4,11697,0,7196,MBP
neos-1599274,4500,0,4500,BP
nh97-potential,1180,328,630,MIP
neos859080,160,80,80,MIP
mod011,10958,0,96,MBP
bley-xs1noM,3243,883,2360,MIP
sp97ic,12497,0,12497,BP
air05,7195,0,7195,BP
blend2,353,25,239,MIP
bley-xs1,3243,883,2360,MIP
rococoC12-010001,16741,187,16554,MIP
h50x2450,4900,0,2450,MBP
bley-xs2,2515,883,1632,MIP
neos-956971,57756,0,57756,BP
blp-ic98,13640,0,13550,MBP
mzzv42z,11717,235,11482,MIP
enlight8,128,64,64,MIP
p0201,201,0,201,BP
neos-876808,87268,0,87268,BP
nsa,388,0,36,MBP
neos-1367061,36600,350,625,MIP
30-70-45-095-98,10990,0,10989,MBP
neos-933562,3032,0,3024,MBP
nu25-pr12,5868,36,5832,MIP
nu120-pr12,5868,36,5832,MIP
mik-250-20-75-5,270,175,75,MIP
misc05inf,136,0,74,MBP
neos-911970,888,0,840,MBP
neos-1420790,4926,0,540,MBP
neos-1067731,8779,0,6330,MBP
mik-250-20-75-3,270,175,75,MIP
neos-914441,15007,0,15006,MBP
irp,20315,0,20315,BP
neos-1324574,5256,0,5256,BP
neos22,3240,0,454,MBP
berlin,5304,0,2652,MBP
seymour1,1372,0,451,MBP
h80x6320d,12640,0,6320,MBP
neos-829552,40971,0,40971,BP
neos-1456979,4605,180,4245,MIP
p200x1188c,2376,0,1188,MBP
b1c1s1,3872,0,288,MBP
neos-1445743,20344,0,2150,MBP
neos-957143,57756,0,57756,BP
manna81,3321,3303,18,MIP
neos-827015,79347,0,79347,BP
bc1,1751,0,252,MBP
icir97-potential,2112,422,1235,MIP
swath2,6805,0,2406,MBP
mas74,151,0,150,MBP
neos-799716,30619,0,910,MBP
bienst1,505,0,28,MBP
neos-826224,41820,0,27540,MBP
fiber,1298,0,1254,MBP
nexp-150-20-8-5,20115,0,17880,MBP
prod1,250,0,149,MBP
arki001,1388,96,442,MIP
rd-rplusc-21,622,0,457,MBP
ran12x21,504,0,252,MBP
neos-595904,4508,0,1148,MBP
exp-1-500-5-5,990,0,250,MBP
neos-480878,534,0,189,MBP
beasleyC1,2500,0,1250,MBP
ns2071214,2720,0,2220,MBP
30-70-45-05-100,10772,0,10771,MBP
qnet1,1541,129,1288,MIP
ds,67732,0,67732,BP
neos-953928,23305,0,23305,BP
khb05250,1350,0,24,MBP
nexp-50-20-1-1,490,0,245,MBP
qap10,4150,0,4150,BP
k16x240b,480,0,240,MBP
cost266-UUE,4161,0,171,MBP
neos-850681,2594,16,2479,MIP
core4284-1064,21714,0,21705,MBP
p500x2988d,5976,0,2988,MBP
neos-935234,10309,0,7530,MBP
mik-250-20-75-2,270,175,75,MIP
opt1217,769,0,768,MBP
22433,429,0,231,MBP
nexp-50-20-4-2,1225,0,980,MBP
neos-631517,1090,0,859,MBP
dell,626,0,105,MBP
neos-1430701,312,0,156,MBP
ic97-tension,703,4,176,MIP
ab69-40-100,12622,0,12622,BP
neos-1593097,18460,0,18200,MBP
neos-948346,57855,0,57855,BP
mas76,151,0,150,MBP
neos-1445532,14406,0,1999,MBP
mc7,3040,0,1520,MBP
mtest4ma,1950,0,975,MBP
neos-932721,22266,0,21825,MBP
ab71-20-100,6689,0,6689,BP
h80x6320,12640,0,6320,MBP
neos8,23228,4,23224,MIP
brasil,6612,0,3306,MBP
ab51-40-100,12675,0,12675,BP
neos-1603965,15003,0,7999,MBP
prod2,301,0,200,MBP
neos-1061020,14010,3598,10333,MIP
10teams,2025,0,1800,MBP
neos-1445738,20631,0,2150,MBP
neos2,2101,0,1040,MBP
n370b,10000,0,5000,MBP
aligninq,1831,0,1830,MBP
beasleyC2,2500,0,1250,MBP
gt2,188,164,24,MIP
neos-983171,8965,0,6557,MBP
sp98ar,15085,0,15085,BP
neos4,22884,0,17172,MBP
neos-691058,3006,0,1755,MBP
mik-250-20-75-1,270,175,75,MIP
23588,368,0,231,MBP
blp-ir98,6097,0,6031,MBP
ran13x13,338,0,169,MBP
neos-860300,1385,0,1384,MBP
r50x360,720,0,360,MBP
nh97-tension,1576,361,257,MIP
g200x740,1480,0,740,MBP
rlp1,461,0,450,MBP
neos-1445765,20617,0,2150,MBP
tr12-30,1080,0,360,MBP
eilC76-2,28599,0,28599,BP
nexp-150-20-1-5,4470,0,2235,MBP
rococoC11-010100,12321,166,12155,MIP
neos-585192,2597,0,1044,MBP
neos-1171448,4914,0,2457,MBP
icir97-tension,2494,573,262,MIP
mod010,2655,0,2655,BP
neos-498623,9861,0,8500,MBP
n3707,10000,0,5000,MBP
bc,1751,0,483,MBP
disctom,10000,0,10000,BP
dcmulti,548,0,75,MBP
neos-555343,3815,15,3800,MIP
core2586-950,13226,0,13215,MBP
neos-1223462,5495,315,5180,MIP
neos-960392,59376,0,59376,BP
neos-574665,740,64,184,MIP
cap6000,6000,0,6000,BP
n3709,10000,0,5000,MBP
enlight-hard,200,100,100,MIP
misc04inf,4897,0,30,MBP
swath3,6805,0,2706,MBP
sp150x300d,600,0,300,MBP
dfn-bwin-DBE,3285,0,2475,MBP
mik-250-20-75-4,270,175,75,MIP
timtab1CUTS,397,94,77,MIP
dano3-3,13873,0,69,MBP
p500x2988c,5976,0,2988,MBP
neos-1420546,26055,0,1125,MBP
neos-827175,32504,0,21350,MBP
nu4-pr9,7350,42,7308,MIP
nsrand-ipx,6621,0,6620,MBP
mc8,3040,0,1520,MBP
neos-913984,76000,0,76000,BP
neos-1582420,10100,100,10000,MIP
neos-1423785,21506,0,1920,MBP
qnet1-o,1541,129,1288,MIP
neos-503737,2850,0,2500,MBP
mitre,10724,0,10724,BP
nu120-pr9,7350,42,7308,MIP
ab72-40-100,12370,0,12370,BP
neos-954925,84718,0,84718,BP
neos-1330346,2664,0,2664,BP
fast0507,63009,0,63009,BP
neos-578379,17010,0,17010,BP
neos-950242,5760,240,5520,MIP
neos-662469,18235,328,17907,MIP
neos-525149,3640,0,3600,MBP
ab67-40-100,12812,0,12812,BP
enlight11,242,121,121,MIP
ns2034125,12000,0,9000,MBP
gen,870,6,144,MIP
dano3-5,13873,0,115,MBP
neos-633273,11154,0,11154,BP
neos-957323,57756,0,57756,BP
rentacar,9557,0,55,MBP
neos9,81408,0,2099,MBP
neos17,535,0,300,MBP
trento1,7687,0,6415,MBP
railway-8-1-0,1796,0,1177,MBP
nw04,87482,0,87482,BP
acc-tight2,1620,0,1620,BP
neos-820879,9522,0,9522,BP
neos-585467,2116,0,846,MBP
swath1,6805,0,2306,MBP
beavma,390,0,195,MBP
neos-619167,3452,0,400,MBP
aflow30a,842,0,421,MBP
neos-1354092,13702,420,13282,MIP
liu,1156,0,1089,MBP
maxgasflow,7437,0,2456,MBP
ns1830653,1629,0,1458,MBP
dolom1,11612,0,9720,MBP
rmatr200-p10,35254,0,200,MBP
var-smallemery-m6j6,5608,0,5606,MBP
lectsched-3,25776,457,25319,MIP
acc-tight5,1339,0,1339,BP
ponderthis0517-inf,975,0,975,BP
neos6,8786,0,8340,MBP
mzzv11,10240,251,9989,MIP
neos-1605061,4111,0,3570,MBP
ci-s4,745,150,355,MIP
pb-gfrd-pnc,27888,0,27888,BP
pb-grow22,25124,0,25124,BP
probportfolio,320,0,300,MBP
nsr8k,38356,0,32040,MBP
t1722,36630,0,36630,BP
berlin-5-8-0,1083,0,794,MBP
mkc,5325,0,5323,MBP
allcolor10,14872,13776,476,MIP
sp98ir,1680,688,992,MIP
bts4-cta,75400,0,2260,MBP
australia-abs-cta,49758,0,918,MBP
cbs-cta,24793,0,2467,MBP
dale-cta,37951,0,4923,MBP
osorio-cta,20409,0,7,MBP
neos-933966,31762,0,27982,MBP
cvs08r139-94,1864,0,1864,BP
breastcancer-regularized,715,14,692,MIP
mushroom-best,8468,118,8237,MIP
adult-max5features,32674,41,32597,MIP
adult-regularized,32674,41,32597,MIP
sct2,5885,0,2872,MBP
sct31,8515,0,5520,MBP
fhnw-sq3,2450,49,2401,MIP
fhnw-sq2,650,25,625,MIP
nucorsav,55410,0,49360,MBP
neos-1442119,728,0,364,MBP
neos-686190,3660,60,3600,MIP
sorrell7,2048,0,2048,BP
sorrell3,1024,0,1024,BP
sorrell4,2048,0,2048,BP
sorrell8,2046,0,2046,BP
bnatt400,3600,0,3600,BP
tbfp-network,72747,0,72747,BP
tbfp-bigm,2406,0,2404,MBP
glass-sc,214,0,214,BP
physiciansched5-3,14488,0,11501,MBP
physiciansched3-3,79555,0,72141,MBP
physiciansched3-4,74119,0,65900,MBP
r4l4-02-tree-bounds-50,11468,2830,1938,MIP
neos-5013590-toitoi,27061,0,27060,MBP
acc-tight4,1620,0,1620,BP
b2c1s1,3872,0,288,MBP
loopha13,19356,0,18150,MBP
allcolor58,84376,78288,2492,MIP
t1717,73885,0,73885,BP
momentum1,5174,0,2349,MBP
stockholm,20644,0,962,MBP
rocI-4-11,6839,1016,5192,MIP
rocII-5-11,11523,0,11341,MBP
rocII-8-11,18390,0,18106,MBP
rocII-10-11,22968,0,22616,MBP
rocI-3-11,5132,762,3894,MIP
ns1760995,17956,0,17822,MBP
ns1430538,33616,0,1680,MBP
ns1690781,5736,0,2880,MBP
ns1828997,27275,0,27275,BP
bab5,21600,0,21600,BP
transportmoment,9685,0,2456,MBP
mine-166-5,830,0,830,BP
neos-3703351-marne,8827,0,1382,MBP
neos-2626858-aoos,524,315,209,MIP
neos-3230511-yuna,99472,0,99456,MBP
neos-3610173-itata,844,0,77,MBP
neos-3665875-lesum,3128,0,320,MBP
neos-4960896-besbre,6149,0,1809,MBP
neos-3135526-osun,192,0,170,MBP
neos-5107597-kakapo,3114,0,2976,MBP
neos-4295773-pissa,85126,0,85124,MBP
neos-3065804-namu,4741,0,2190,MBP
neos-5178119-nalagi,4167,0,4068,MBP
neos-3761878-oglio,6489,0,1312,MBP
neos-3048764-nadi,12360,0,9390,MBP
neos-5076235-embley,49686,0,98,MBP
neos-4232544-orira,87060,5700,38280,MIP
neos-4736745-arroux,6216,5096,1120,MIP
neos-3218348-suir,7022,0,7006,MBP
neos-3699377-maori,17233,0,1856,MBP
neos-3530903-gauja,2310,1890,420,MIP
neos-3709489-menik,48005,15424,31506,MIP
neos-3592146-hawea,4870,4345,525,MIP
neos-5157194-moruya,24557,1681,13302,MIP
neos-4532248-waihi,86842,0,86841,MBP
neos-4724674-aorere,94145,22,87022,MIP
neos-3611447-jijia,472,0,85,MBP
neos-4954672-berkel,1533,0,630,MBP
neos-3226448-wkra,10012,0,10012,BP
neos-3603137-hoteo,4003,90,3913,MIP
neos-3148108-pahi,12241,0,12241,BP
neos-4738912-atrato,6216,5096,1120,MIP
neos-3759587-noosa,27029,0,4289,MBP
neos-3352863-ancoa,20046,0,20045,MBP
neos-5081619-ganges,66432,0,7900,MBP
neos-4230265-orari,32980,10,13380,MIP
neos-4300652-rahue,33003,0,20900,MBP
neos-3656078-kumeu,14870,4455,9755,MIP
neos-3610051-istra,805,0,76,MBP
neos-3229051-yass,99472,0,99456,MBP
neos-4722843-widden,77723,20,73349,MIP
neos-3045796-mogo,11016,0,11016,BP
neos-5078479-escaut,3471,0,1330,MBP
neos-3230376-yser,57000,0,56976,MBP
neos-3075395-nile,26928,0,1728,MBP
neos-4533806-waima,93318,0,93304,MBP
neos-3237086-abava,50192,0,50192,BP
neos-3755335-nizao,40938,0,5226,MBP
neos-3214367-sovi,4318,179,4139,MIP
neos-2978193-inde,20800,0,64,MBP
neos-5188808-nattai,14544,0,288,MBP
neos-3118745-obra,1131,0,1130,MBP
neos-3734794-moppy,4418,154,1760,MIP
neos-4387871-tavua,4004,0,2000,MBP
neos-4333596-skien,1005,0,460,MBP
neos-2652786-brda,524,288,236,MIP
neos-4966126-blavet,37885,0,2516,MBP
neos-2991472-kalu,12105,0,12096,MBP
neos-3046601-motu,308,17,272,MIP
neos-4954340-beaury,7850,0,2544,MBP
neos-3355323-arnon,10248,144,10104,MIP
neos-3672928-linge,62251,19636,40081,MIP
neos-3611689-kaihu,421,0,88,MBP
neos-3283608-agout,26256,0,26224,MBP
neos-3083784-nive,4779,0,3240,MBP
neos-3211096-shag,4379,90,4289,MIP
neos-3610040-iskar,430,0,85,MBP
neos-3572885-glina,57196,22924,34272,MIP
neos-3209519-ruhr,8675,0,8000,MBP
neos-4338804-snowy,1344,42,1260,MIP
neos-2629914-sudost,496,0,256,MBP
neos-4650160-yukon,1412,0,624,MBP
neos-5093327-huahum,40640,0,64,MBP
neos-4355351-swalm,21065,0,10530,MBP
neos-4409277-trave,14363,0,14362,MBP
neos-3581454-haast,8112,0,7512,MBP
neos-3762025-ognon,4673,0,948,MBP
neos-2656603-coxs,524,338,186,MIP
neos-3009394-lami,2757,52,2704,MIP
neos-2657525-crna,524,378,146,MIP
neos-4971100-bodrog,11929,0,1980,MBP
neos-3530905-gaula,2090,1900,190,MIP
neos-3421095-cinca,896,42,117,MIP
neos-4335793-snake,30827,7865,20473,MIP
neos-5182409-nasivi,2005,0,1600,MBP
neos-5115478-kaveri,3114,0,2976,MBP
neos-5041756-cobark,60301,0,60000,MBP
neos-3426085-ticino,4688,3809,879,MIP
neos-5083528-gimone,60315,55509,4792,MIP
neos-2328163-agri,2236,0,2236,BP
neos-4333464-siret,2731,0,1363,MBP
neos-5192052-neckar,180,0,24,MBP
neos-3437289-erdre,12162,0,12162,BP
neos-2987310-joes,27837,0,3051,MBP
neos-2624317-amur,524,344,180,MIP
neos-3381206-awhea,2375,1900,475,MIP
neos-4391920-timok,93846,0,93786,MBP
neos-2746589-doon,50936,224,50704,MIP
neos-4290317-perth,54708,0,1042,MBP
neos-3660371-kurow,4722,0,144,MBP
neos-3209462-rhin,56453,0,383,MBP
neos-4359986-taipa,25130,0,25095,MBP
neos-3696678-lyvia,7683,167,7516,MIP
neos-2294525-abba,10842,0,10086,MBP
neos-4477313-unzha,2193,0,2016,MBP
neos-5052403-cygnet,32868,0,32868,BP
neos-4805882-barwon,22229,18,15809,MIP
neos-4343293-stony,9400,0,4698,MBP
neos-5079731-flyers,49686,0,98,MBP
neos-3373491-avoca,2368,2325,43,MIP
neos-3634244-kauru,4376,0,4375,MBP
neos-5102383-irwell,51450,0,98,MBP
neos-5125849-lopori,8130,90,8040,MIP
neos-3116779-oban,5141,0,5140,MBP
neos-3402294-bobin,2904,0,2616,MBP
neos-3661949-lesse,4775,4080,560,MIP
neos-4292145-piako,32950,0,13370,MBP
neos-5193246-nerang,14546,0,9792,MBP
neos-3068746-nene,4890,1075,3815,MIP
neos-4754521-awarau,41680,0,41680,BP
neos-3691541-lonja,10300,0,10200,MBP
neos-3426132-dieze,11550,8800,2750,MIP
neos-3627168-kasai,1462,0,535,MBP
neos-4954274-beardy,12865,0,12865,BP
neos-4393408-tinui,4004,0,2000,MBP
neos-4954357-bednja,3885,0,1231,MBP
neos-5140963-mincio,196,0,183,MBP
neos-3216931-puriri,3555,0,3268,MBP
neos-3699044-maipo,48007,15424,31506,MIP
neos-3636886-kereu,13198,6056,6021,MIP
neos-3046615-murg,274,16,240,MIP
neos-5100895-inster,29400,0,56,MBP
neos-4555749-wards,89147,0,89130,MBP
neos-3754480-nidda,253,0,50,MBP
neos-5195221-niemur,14546,0,9792,MBP
neos-3402454-bohle,2904,0,2616,MBP
neos-4264598-oueme,54550,0,13370,MBP
neos-3072252-nete,576,0,144,MBP
neos-4358725-tagus,11494,0,4898,MBP
neos-5196530-nuhaka,14544,0,9792,MBP
neos-3004026-krka,17030,130,16900,MIP
neos-5075914-elvire,5003,0,2638,MBP
neos-3654993-kolva,13640,4102,8948,MIP
no-ip-64999,2232,45,2187,MIP
no-ip-65059,2232,45,2187,MIP
swath,6805,0,6724,MBP
neos-799711,41998,0,910,MBP
app3,3080,0,100,MBP
app1-1,2480,0,1225,MBP
app2-1,3283,0,3283,BP
app2-2,1226,0,1226,BP
neos16,377,41,336,MIP
neos-935769,9799,0,7020,MBP
app1-2,26871,0,13300,MBP
msc98-ip,21143,53,20237,MIP
momentum3,13532,1,6598,MIP
z26,17937,0,17937,BP
neos-5149806-wieprz,33753,3,33750,MIP
ns1456591,8399,19,8000,MIP
set3-20,4019,0,1424,MBP
beasleyC3,2500,0,1250,MBP
csched008,1536,0,1284,MBP
rmatr100-p10,7359,0,100,MBP
nursesched-sprint-hidden09,11650,20,11630,MIP
nursesched-sprint-late03,11690,20,11670,MIP
nursesched-sprint02,10250,20,10230,MIP
nursesched-medium-hint03,34248,78,34170,MIP
nursesched-medium04,29667,54,29613,MIP
sing326,55156,0,40010,MBP
sing44,59708,0,43524,MBP
set3-10,4019,0,1424,MBP
set3-15,4019,0,1424,MBP
sp97ar,14101,0,14101,BP
rvb-sub,33765,0,33763,MBP
blp-ic97,9845,0,9753,MBP
dc1l,37297,0,35638,MBP
neos-1337307,2840,0,2840,BP
core4872-1529,24656,0,24645,MBP
lectsched-4-obj,7901,236,7665,MIP
atlanta-ip,48738,106,46667,MIP
graph20-80-1rand,16263,0,16263,BP
graph40-20-1rand,31243,0,31243,BP
graph20-20-1rand,2183,0,2183,BP
sct5,37265,0,23004,MBP
wachplan,3361,1,3360,MIP
lectsched-2,17656,369,17287,MIP
csched010,1758,0,1457,MBP
decomp2,14387,0,14387,BP
neos18,3312,0,3312,BP
ns930473,11328,0,11176,MBP
reblock354,3540,0,3540,BP
comp16-3idx,64193,14,56745,MIP
brazil3,23968,94,23874,MIP
mad,220,0,200,MBP
bppc8-09,431,6,423,MIP
bppc4-08,1456,0,1454,MBP
bppc8-02,232,1,229,MIP
bppc6-02,4784,0,4782,MBP
bppc6-06,3922,0,3920,MBP
germanrr,10813,5251,5323,MIP
ns1208400,2883,0,2880,MBP
queens-30,900,0,900,BP
atm20-100,6480,0,2220,MBP
supportcase35,12941,0,576,MBP
decomp1,10735,0,10735,BP
newdano,505,0,56,MBP
mine-90-10,900,0,900,BP
neos-1171737,2340,0,1170,MBP
eilA101-2,65832,0,65832,BP
dc1c,10039,0,8380,MBP
supportcase34,17879,6682,11196,MIP
supportcase30,1024,0,1024,BP
glass4,322,0,302,MBP
bmoipr2,20503,0,8434,MBP
bg512142,792,0,240,MBP
shipsched,13594,0,10549,MBP
gmu-35-50,1919,0,1914,MBP
net12,14115,0,1603,MBP
30n20b8,18380,62,18318,MIP
scpj4scip,99947,0,99947,BP
air04,8904,0,8904,BP
neos-824661,45390,0,15640,MBP
rmine11,12292,0,12292,BP
supportcase4,3162,0,3162,BP
supportcase18,13410,0,13410,BP
supportcase23,24275,0,6250,MBP
supportcase1,29999,200,29799,MIP
supportcase20,903,0,300,MBP
supportcase22,7129,0,7129,BP
supportcase16,319,0,319,BP
supportcase10,14770,0,14770,BP
supportcase2,2912,0,2912,BP
supportcase14,304,0,304,BP
supportcase17,1381,235,732,MIP
supportcase25,6769,0,576,MBP
supportcase3,4191,0,4191,BP
supportcase26,436,0,396,MBP
ramos3,2187,0,2187,BP
neos-5260764-orauea,12940,0,12580,MBP
neos-5261882-treska,2900,0,2730,MBP
neos-5266653-tugela,23310,0,22662,MBP
neos-5221106-oparau,25445,0,25120,MBP
nag,2884,35,1350,MIP
neos-1396125,1161,0,129,MBP
rmine13,23980,0,23980,BP
n3div36,22120,0,22120,BP
cvs16r128-89,3472,0,3472,BP
nj2,85224,0,14280,MBP
nj1,78084,0,14280,MBP
nj3,85224,0,14280,MBP
dws012-03,76068,0,44616,MBP
dws012-01,26148,0,15576,MBP
dws012-02,51108,0,30096,MBP
dws008-01,11096,0,6608,MBP
dws008-03,32280,0,18928,MBP
tanglegram6,9182,0,9182,BP
cmflsp40-36-2-10,28152,0,1512,MBP
cmflsp60-36-2-6,42192,0,2232,MBP
cmflsp50-24-10-4,16440,0,1440,MBP
cmflsp50-24-8-8,16392,0,1392,MBP
cmflsp40-24-10-7,13200,0,1200,MBP
co-100,48417,0,48417,BP
eva1aprime5x5opt,1712,0,400,MBP
eva1aprime6x6opt,3514,0,836,MBP
lectsched-5-obj,21805,416,21389,MIP
rococoC11-011100,6491,166,6325,MIP
pigeon-13,754,0,637,MBP
tw-myciel4,760,1,759,MIP
siena1,13741,0,11775,MBP
dano3mip,13873,0,552,MBP
neos-1112782,4140,0,2070,MBP
nb10tb,73340,0,16880,MBP
cvs16r70-62,2112,0,2112,BP
n3700,10000,0,5000,MBP
rail507,63019,0,63009,MBP
v150d30-2hopcds,150,0,150,BP
roll3000,1166,492,246,MIP
umts,2947,72,2802,MIP
neos-5189128-totara,36025,0,35640,MBP
neos-4360552-sangro,10272,576,9696,MIP
neos-3372571-onahau,13086,0,185,MBP
neos-4760493-puerua,53593,0,53592,MBP
neos-4797081-pakoka,12393,2463,9930,MIP
neos-4165869-wannon,31728,31248,480,MIP
neos-3555904-turama,37461,0,37461,BP
neos-4647027-thurso,9800,0,4200,MBP
neos-4647030-tutaki,12600,0,7000,MBP
neos-3631363-vilnia,15755,0,755,MBP
neos-3025225-shelon,69846,0,69845,MBP
neos-4382714-ruvuma,6562,0,6561,MBP
neos-4763324-toguru,53593,0,53592,MBP
neos-3695882-vesdre,6135,0,5955,MBP
neos-3988577-wolgan,25870,0,25870,BP
neos-4647032-veleka,18200,0,12600,MBP
neos-3355120-tarago,7800,3100,4700,MIP
neos-3682128-sandon,7880,10,7870,MIP
neos-4408804-prosna,66612,0,33306,MBP
ns1116954,12648,0,7482,MBP
cdma,7891,0,4235,MBP
enlight9,162,81,81,MIP
hgms62,48597,0,547,MBP
hgms30,23797,0,547,MBP
hgms-det,1322,0,547,MBP
sct32,9767,0,7728,MBP
milo-v12-6-r2-40-1,2688,0,840,MBP
milo-v12-6-r1-75-1,5698,0,1925,MBP
milo-v12-6-r1-58-1,4440,0,1500,MBP
milo-v13-4-3d-3-0,516,0,120,MBP
milo-v13-4-3d-4-0,688,0,160,MBP
shiftreg1-4,10008,0,3912,MBP
tanglegram4,56048,0,56048,BP
zeil,70116,0,5314,MBP
iis-glass-cov,214,0,214,BP
iis-hc-cov,297,0,297,BP
f2000,4000,0,4000,BP
van,12481,0,192,MBP
bab1,61152,0,61152,BP
rmatr200-p20,29605,0,200,MBP
pigeon-10,490,0,400,MBP
neos-1112787,3280,0,1640,MBP
genus-sym-g62-2,12912,1,12910,MIP
genus-g31-8,3484,1,3482,MIP
genus-sym-grafo5708-48,3379,1,3377,MIP
genus-sym-g31-8,3484,1,3482,MIP
genus-g61-25,14380,1,14378,MIP
xmas10,8100,0,900,MBP
moj-mining,67519,0,5171,MBP
fhnw-binpack4-4,520,0,481,MBP
fhnw-binpack4-18,520,0,481,MBP
fhnw-binpack4-58,7550,0,7400,MBP
fhnw-binpack4-48,3710,0,3605,MBP
fhnw-binpack4-77,3924,0,3816,MBP
n3705,10000,0,5000,MBP
splice1k1,3253,1,3252,MIP
hypothyroid-k1,2602,1,2601,MIP
cryptanalysiskb128n5obj16,48950,1120,47830,MIP
l2p12,11786,590,10906,MIP
k1mushroom,8211,1,8210,MIP
cryptanalysiskb128n5obj14,48950,1120,47830,MIP
radiationm18-12-05,40623,11247,14688,MIP
traininstance6,10218,2056,4154,MIP
traininstance2,12890,2602,5278,MIP
mcsched,1747,0,1745,MBP
satellites2-60-fs,35378,0,34324,MBP
uct-subprob,2256,0,379,MBP
peg-solitaire-a3,4552,0,4552,BP
ns1904248,38458,0,38416,MBP
cod105,1024,0,1024,BP
lr1dr02vc05v8a-t360,20810,6471,12174,MIP
lr1dr04vc05v17a-t360,36912,17979,15326,MIP
supportcase33,20203,101,20102,MIP
ns1856153,11998,0,11956,MBP
qiu,840,0,48,MBP
neos-826650,5912,0,5792,MBP
neos-859770,2504,0,2504,BP
momentum2,3732,1,1808,MIP
circ10-3,2700,0,2700,BP
usAbbrv-8-25-70,2312,0,1681,MBP
lotsize,2985,0,1195,MBP
gmu-35-40,1205,0,1200,MBP
gus-sch,5475,2736,2736,MIP
seymour,1372,0,1372,BP
shiftreg2-7,11404,0,4152,MBP
gmut-75-50,68865,0,68859,MBP
neos-885524,91670,0,91670,BP
neos-1601936,4446,0,3906,MBP
toll-like,2883,0,2883,BP
supportcase37,20047,0,1484,MBP
pythago7824,3740,0,3740,BP
pythago7825,3745,0,3745,BP
neos-738098,9093,0,8946,MBP
supportcase41,4725,0,2000,MBP
biella1,7328,0,6110,MBP
bienst2,505,0,35,MBP
supportcase28i,7560,7536,24,MIP
supportcase27i,3185,1675,912,MIP
rococoC10-001000,3117,124,2993,MIP
f2gap801600,1600,0,1600,BP
f2gap401600,1600,0,1600,BP
f2gap40400,400,0,400,BP
f2gap201600,1600,0,1600,BP
irish-electricity,61728,0,9888,MBP
triptim7,27342,8716,18619,MIP
triptim4,27226,8682,18537,MIP
triptim8,27342,8716,18619,MIP
n2seq36f,8100,0,8100,BP
triptim2,27326,6543,20776,MIP
n2seq36q,22480,0,22480,BP
triptim1,30055,9592,20456,MIP
piperout-03,9526,129,9373,MIP
piperout-08,10399,130,10245,MIP
piperout-d27,13104,149,12931,MIP
piperout-d20,11961,149,11788,MIP
piperout-27,11659,121,11514,MIP
unitcal-7,25755,0,2856,MBP
cdc7-4-3-2,11811,0,11811,BP
rmine15,42438,0,42438,BP
bnatt500,4500,0,4500,BP
